ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B08_296028	NCIH522_LUNG	NCI-H522	M	3	lung	carcinoma	non_small_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C02_296040	NCIH661_LUNG	NCI-H661	M	3	lung	carcinoma	large_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C05_296046	HCC78_LUNG	HCC-78	M	3	lung	carcinoma	adenocarcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D07_296074	RERFLCAD1_LUNG	RERF-LC-Ad1	M	3	lung	carcinoma	adenocarcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D10_296080	NCIH1155_LUNG	NCI-H1155	M	3	lung	carcinoma	large_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084	ABC1_LUNG	ABC-1	M	3	lung	carcinoma	non_small_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E03_296090	NCIH1703_LUNG	NCI-H1703	M	3	lung	carcinoma	adenocarcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F01_296110	NCIH1581_LUNG	NCI-H1581	M	3	lung	carcinoma	large_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G03_296138	NCIH1395_LUNG	NCI-H1395	F	3	lung	carcinoma	adenocarcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G04_296140	NCIH1781_LUNG	NCI-H1781	F	3	lung	carcinoma	bronchioloalveolar_adenocarcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G08_296148	NCIH146_LUNG	NCI-H146	M	3	lung	carcinoma	small_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H10_296176	DMS79_LUNG	DMS-79	M	3	lung	carcinoma	small_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H12_302140	NCIH2106_LUNG	NCI-H2106	M	3	lung	carcinoma	non_small_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_A01_383726	CORL23_LUNG	COR-L23	M	4	lung	carcinoma	large_cell_carcinoma
