ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F11_698878	NCIH838_LUNG	NCI-H838	M	12	lung	carcinoma	non_small_cell_carcinoma
BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G05_698912	HCC1171_LUNG	HCC-1171	M	12	lung	carcinoma	non_small_cell_carcinoma
GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A05_779628	NCIH292_LUNG	NCI-H292	F	13	lung	carcinoma	mucoepidermoid_carcinoma
GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A12_779714	VMRCLCD_LUNG	VMRC-LCD	M	13	lung	carcinoma	adenocarcinoma
GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B01_779640	HCC1833_LUNG	HCC-1833	F	13	lung	carcinoma	adenocarcinoma
GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B07_779750	CORL279_LUNG	COR-L279	M	13	lung	carcinoma	small_cell_carcinoma
GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C07_779624	NCIH3255_LUNG	NCI-H3255	F	13	lung	carcinoma	adenocarcinoma
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A11_767946	SALE_LUNG	SALE	M	14	lung	other	immortalized_epithelial
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A12_767798	HCC2814_LUNG	HCC-2814	M	14	lung	carcinoma	squamous_cell_carcinoma
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_B02_767868	TIG3TD_LUNG	TIG-3-TD	M	14	lung	other	immortalized_embryonic_fibroblast
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C07_767802	HCC364_LUNG	HCC364	M	14	lung	carcinoma	adenocarcinoma
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C12_767852	DFCI024_LUNG	DFCI024	F	14	lung	carcinoma	adenocarcinoma
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D01_767822	HCC1897_LUNG	HCC-1897	M	14	lung	carcinoma	squamous_cell_carcinoma
RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D05_767812	HCC827GR5_LUNG	HCC-827-GR5	M	14	lung	carcinoma	adenocarcinoma
